Sr. No.,ProductTitle,Category,ProductSubCat,ProductWeight,based,Size 1,Size 2,Size 3,Size 4,Size 5,ProductWashability,ProductDurability,ProductShades,ProductCoverage,ProductFinish,ProductDryingTime,ProductDetails,One Liner,ProductFeature1,ProductFeature2,ProductFeature3,ProductFeature4,ProductFeature5,ProductFeature6,ProductPIS,ProductSurfacePreparation,ProductMixingthePaint,ProductApplyingthePaint,ProductCleanUp,ProductFinalTouches,ProductMaterials,ProductTips,Question 1,Question 2,Question 3,Question 4,Question 5,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Image,PIS,Product Page URL
27,Royale Luxury Emulsion,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,2200+,130-150 Sq.ft/Ltr,Soft Sheen,30 Minutes,"Luxury isjust a brushstroke away with Royale Luxury Emulsion. It's the only emulsion paint in India equipped with Teflon™M surface protector which makes it easily washable. It is a non-toxic, lead-free, low VOC and odourless paint that protects the walls from tough stains. Teflon™M Surface Protector, fortifies your walls against tough stains. The toughest household stains like turmeric and ink are reduced to a large extent, while water-based stain like tea, coffee etc. are completely removed. The promise of Green Assure from Asian Paints, implies that this product conforms to strict international environmental and safety standards. Low VOC standards and the absence of any harmful chemical results in very low odour.",,TeflonTM Surface Protector,Anti- Bacterial and Anti- Fungal Shield,Green Assure,,,,,,,,,,,,Is Royale Luxury Emulsion paint washable?,What is the expected coverage per liter of Royale Luxury Emulsion?,How many coats are recommended for Royale Luxury Emulsion?,How long will Royale Luxury Emulsion last after application?,What is the dilution ratio for Royale Luxury Emulsion?,"Yes, the Asian Paints Royale Luxury Emulsion has a best-in-class washability. This helps you to create a home that is safe from spills, stains and marks, making it easier for you to clean then without any hassle.","The Asian Paints Royale Luxury Emulsion paint provides 270-310 sq.ft/ltr coverage for the 1st coat and 140-160 sq.ft/ltr for the 2nd coat. However, the actual coverage may vary from the quoted coverage due to various factors, you can refer to the product sheet.",The recommended number of coats for the Asian Paints Royale Luxury Emulsion is 2.,"The Asian Paints Royale Luxury Emulsion can last years to come. The best part is that it comes with best-in-class washability, which makes it easier to keep it looking pristine. The paint also comes with an 8-year comprehensive performance warranty, which helps you stay tension-free.","The dilution ratio for Asian Paints Royale Luxury Emulsion with a Brush or Roller is 40-45%, and for an Airless Spray, it is 10-20%.",Yes,Yes,
28,Royale Lustre,Interior,Luxury,Liter,Water,1,4,10,20,,4 (Good Washable),6-8 Years,1750+,130-150 Sq.ft/Ltr,Soft Sheen,30 Minutes,"Asian Paints Royale Lustre provides a very tough and durable finish to your walls. When applied with a roller, it imparts a characteristic Dana pattern on to the wall. Royale Lustre offers a rich satin shimmer to your walls that enhances the interiors of your home. The unique dana pattern, offers a finish that is unmatched by any other product. A choice of over 1750 colours ensures that you are always spoilt for choice. The Teflon Surface Protector has enhanced stain resistance that protects your walls from all kinds of stains. The paint film works to prevent stains from penetrating the surface and ensures easy cleanability. Even the toughest of household stains like turmeric and ink, are reduced to a large extent, while all water based stains like tea, coffee, etc are completely removed.",,Enhanced durability,Rich Sheen finish with a distinct Dana pattern,Anti-fungal shield,Enhanced stain resistance,"Anti-yellowing, less odour and irritation in eyes",Low VOC Content,,,,,,,,,Is Royale Lustre paint washable?,What is the expected coverage per liter of Royale Lustre?,How many coats are recommended for Royale Lustre?,How long will Royale Lustre last after application?,What is the dilution ratio for Royale Lustre?,Asian Paints Royale Lustre paint is washable due to its Best-in-Class Washability and improved stain resistance. These features allow you to clean the walls and keep them stain-free.,"The expected coverage per liter of Asian Paints Royale Lustre depends on the surface and the tool being used. On a smooth primed masonry surface by brushing followed by rolling with a honeycomb roller or felt roller, one coat may give a coverage of 7 - 8 sq. m./ltr and for two coats of 4 - 4.6 sq. m./ltr. When applied with a Sponge Roller, one coat can give 13 - 15 sq. m./ltr and for two coats 8 - 10 sq. m./ltr.","Two coats of Asian Paints Royale Lustre are recommended to get durable, stain-resistant walls with a rich sheen finish with a distinct dana pattern.","The Asian Paints Royale Lustre, with its features and benefits, will last you for years. The product itself comes with an 8-year performance warranty and a 5-year anti-algal warranty.","The dilution ratio of Royale Lustre paint depends on the type of tool and finish you are using and looking for in the painting process; with a smooth finish with a brush and roller, you’ll need a 20-30% ratio.",Yes,Yes,
29,Nilaya Arc Matt,Interior,Ultra Luxury,Liter,Water,1,4,10,20,,5 (Highly Washable),8-10 Years,100+,100 - 120 Sq.ft/ltr,Highly Matt,30 Minutes,"Nilaya Arc Matt is a unique lime-based offering by Asian Paints that masterfully blends the elgance of heritage withmodern sophistication. It delivers a raw, tactile finish, that evokes the charm of historical craftsmanship. Ideal for creating heritage -inspired spaces, Nilaya Arc transforms interior into timeless grandeur. At its core, Nilaya Arc celebrates sustainability and heritage with a lime-based composition, creating exquisite artistry. Infused with silicon, Nilaya Arc offers a durability that speaks of lasting resilience. Its superior formulation combines timeless artistry with new age innovation. Low VOC formulation, offers a modern sustainability to the age-old beauty of lime, making luxury conscientious.",,Lime Based Paint,Artisanal Matt Finish,Silicon Tactility,Stain Cleanability,100+ shades inspired by heritage,Low VOC:,,,,,,,,,Is Nilaya Arc Matt washable?,What is the expected coverage per liter of Nilaya Arc Matt?,How many coats are recommended for Nilaya Arc Matt?,How long will Nilaya Arc Matt last after application?,What is the dilution ratio for Nilaya Arc Matt?,"The Nilaya Arc Matt finish has best-in-class washability, which helps you to create a finish that is long-lasting and can be cleaned without any hassle.",The Nilaya Arc Matt finish is expected to cover 100 - 120 sq.ft/ltr for two coats.,The recommended number of coats for Nilaya Arc Matt is two coats.,"Nilaya Arc Matt comes with features such as stain cleanability and 10 10-year warranty, which helps you achieve performance and enduring elegance year after year.",You should dilute 1 liter of Nilaya Arc Matt with 300–350 ml of water.,Yes,Yes,
30,Nilaya Arc Pearlescent,Interior,Ultra Luxury,Liter,Water,1,4,10,20,,5 (Highly Washable),8-10 Years,100+,100 - 120 Sq.ft/ltr,Soft Sheen,30 Minutes,"Nilaya Arc Pearlescent is a lime-based paint that is deeply rooted in heritage and evokes the artistry of Indian Craftsmanship. Its unique composition delivers a lustrous , radiant finish, blending the elegance of tradition with modern sophistication. Nilaya Arc transforms interiors with a timeless sense of grandeur. At its core, Nilaya Arc celebrates sustainability and heritage with a lime-based composition, creating exquisite artistry. Unmatched stain resistance against marks of pencil, oil crayon, wax crayon, sketchpen, highlighter, board marker, tomato ketchup, soya sauce, liquid shoe polish, pickle, tea, coffee, turmeric, lipstick. A palette of over 100+ shades, deeply rooted in a rich tapestry of heritage. Each hue reflects timeless luxury, infusing spaces with warmth and sophistication while telling a story of grace. ",,Lime Based Paint,Alluring Pearl Finish,Silicon Tactility,Stain Cleanability,100+ shades inspired by heritage,Low VOC:,,,,,,,,,Is Nilaya Arc Pearlescent washable?,What is the expected coverage per liter of Nilaya Arc Pearlescent?,How many coats are recommended for Nilaya Arc Pearlescent?,How long will Nilaya Arc Pearlescent last after application?,What is the dilution ratio for Nilaya Arc Pearlescent?,"Nilaya Arc Pearlescent has best-in-class washability, which makes it easier to clean the walls, whether from dust or daily household stains.","Nilaya Arc Pearlescent has the expected coverage of 100 - 120 sq.ft/ltr for two coats on a normal masonry surface with a brush and short nap roller. Actual coverage may vary from the quoted coverage due to factors such as method and condition of application, as well as surface roughness and porosity.",Two coats of Nilaya Arc Pearlescent are recommended for the required finish and result.,"Nilaya Arc Pearlescent comes with various advanced features, such as best-in-class washability, a 10-year warranty, and more. These features make it not only easier to maintain it after application but also provide a long-lasting assurance.",Nilaya Arc Pearlescent has to be diluted with 300 – 350 ml of water for 1 liter of the finish.,Yes,Yes,
31,Royale Play Archi Concrete,Interior,Texture,Kg,Water,10,25,,,,5 (Highly Washable),8-10 Years,White,1.6 - 2.0 kg/m2 in two coats,Highly Matt,2 Hours,"Raw yet refined, Archi Concrete has an unfinished, earthy texture that gives an industrial edge. Archi Concrete is an anti-algae acrylic-siloxane plaster coating for exteriors and interiors, fine grain (0.5 - 0.7 mm). The particular grain curve of Archi Concrete and the possibility to overlap it with one or more layers of Royale Play Protective Coat or Tile guard colour wash (matt), ensures to achieve cutting-edge elegant concrete effects, in line with the newest trends in the interior/exterior design. Archi Concrete Finish surfaces are highly washable, stain resistance.",,Low VOC,Anti Algal Acrylic Siloxane Plaster,Concrete surfaces,Stain Resistance,,,,,,,,,,,,,,,,,,,,,Yes,Yes,
32,Royale Play Calcecruda,Interior,Texture,Kg,Water,10,25,,,,3 (Medium Washable),8-10 Years,white,5 sq.ft./kg,Highly Matt,4-6 Hours,"Calcecruda is a microporous decorative coating, of mineral nature, with a strong natural connotation that actively contributes to living comfort. Calcecruda is formulated on the specific properties of lime hydrate, purified clay, selected marbles and natural sands, which when appropriately balanced, allow excellent workability and moldability. The clay component creates a network structure of particles, adjusts processing times and improves the workability of the product. The presence of cellulose fibres strengthens and reinforces the structure, thus contributing to the realisation of greater thicknesses in synergy with the other components.",,Low VOC,Decorative Effect,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,
33,Royale Play Dune ,Interior,Texture,Liter,Water,1,,,,,4 (Good Washable),8-10 Years,48+,40 – 60 sq.ft/ltr*,Soft Sheen,8-10 Hours,"Experience a never-seen-before interplay of materials and patterns, specially curated for the modern home. In a colour palette which is as avant-garde as it is sophisticated. Africa, a continent of vibrant colours, deserts, and sand dunes, is the inspiration for Royale Play Dune. Available in a silver or gold base, it is a water-based top coat finish with metallic pigments that evoke a sub-saharan theme. Apply a layer of Royale Protective coat to get best washability performance.A number of special effects such as drizzle, whirl and halo can be created using a variety of tools, with Asian Paints Royale Play Dune special effects paint. It provides a metallic lustre that lends elegance and style to the surface",,Low VOC,Special Effect,Easy Application,Metallic Lustre,,,,,,,,,,,s Royale Play Dune paint washable?,What is the expected coverage per liter of Royale Play Dune?,How many coats are recommended for Royale Play Dune?,How long will Royale Play Dune last after application?,What is the curing period of Royale Play Dune when applied to new surfaces?,"The Asian Paint Royale Play Dune is highly washable, making it easy to clean. The finish can be kept clean by wiping off dust or stains with a dry cloth.","The expected coverage of Asian Paint Royale Play Dune is 40-60 sq.ft/ltr for 2 coats on the smooth, well-prepared surface by rolling followed by Special Effect Tools.",We recommend two coats of Asian Paint Royale Play Dune for the perfect wall finish effect.,"Asian Paint Royale Play Dune will last a long time. Its high washability makes it easier to maintain. To clean stains and dust, you will only need a dry cloth.","The curing period of Royale Play Dune, when applied to new surfaces, is 28 days.",Yes,Yes,
34,Royale Play Fuso,Interior,Texture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Royale Play Infintex,Interior,Texture,Kg,Water,10,,,,,4 (Good Washable),8-10 Years,42+,8 - 10 sq.ft/kg,Matt (G-20),8-10 Hours,"Inspired by the various elements of nature, Royale Play Infinitex is a range of designer interior textures that provides texture paint designs for walls & brings made to out the artist in you. Make your wall a canvas and start creating. Pick from a large variety of textures available for different conditions and give your wall the perfect look. It's a water based textured paint for interior & exterior application. It is a stiff-paint, non-toxic, non-flammable and fully respects people’s health and environment. Six effects like Bricks, Pebbles, Shale, Crossroad, Breeze and Ripple are created using a variety of tools on Asian Paints Royale Play Infinitex.",,Low VOC,Special Effect,Easy Application,Non Flamable,Environment friendly,,,,,,,,,,What is Royale Play Infinitex?,On what kind of surfaces can Royale Play Infinitex be applied?,How much area does the Royale Play Infinitex cover?,In what kind of quantities is the Royale Play Infinitex available?,What's the estimated painting time required to achieve the finished wall?,"Inspired from different elements of nature, Asian Paints Royale Play Infinitex is a range of designer interior textures that transform your walls into amazing, unique work of art.",We recommend using it only on the interior & semi-exterior wall surfaces. It cannot be applied on any other surface such as wood or metal.,"On smooth well-prepared surface by use of Special Effect Tools, the coverage of Royale Play Infinitex is 0.7 - 1.3 square metre per Kg. for 1 coat. However, actual coverage may vary from the quoted coverage due to factors such as method and condition of application and surface roughness and porosity.","Royale Play Infinitex is available in packs or tins of 1 Kg, 5 Kg & 20 Kg.","On well-prepared surface, It will take 1 to 2 days to achieve the finished wall.",Yes,Yes,
36,Royale Play Metallics,Interior,Texture,Liter,Water,0.2,1,,,,4 (Good Washable),8-10 Years,120+,130-150 Sq.ft/Ltr,Soft Sheen,16-18 Hours,"Royale Play Metallics is a water-based special effects textured paint that offers a variety of special effects for interior walls. Pick from a large variety of textures available for different conditions and give your wall the perfect look. Combing is a fun technique that creates a striated effect with your textured paint. Different types of Special Effects such as Crinkle, Dapple, Weaving, Canvas, Spatula, Colorwash, Ragging, Sponging, Combing, Brushing can be created using a variety of tools on Asian Paints Royale Play Metallics Special Effects Paint. This product has been specially formulated such that it is easy to apply, allows the tools to move smoothly without much effort, retaining the pattern left by the tool that created. It provides greater open time to allow the creation of the effect. It provides a Metallic lustre that lends elegance and style to a surface. Asian Paints Royale Play-Metallics is a 100% acrylic emulsion paint for interior application. It will not run or sag on vertical surfaces. It is abrasion resistant, translucent, odourless, non-toxic, non-flammable and fully respects people’s health and environment.",,Enviromental Friendly,Special Effect,Easy Application,Non Flamable,Low VOC,Non Toxic,,,,,,,,,What is Royale Play Metallics?,On what kind of surfaces can Royale Play Metallics Paint be applied?,How much area does the Royale Play Metallics Paint cover?,In what kind of quantities is the Royale Play Metallics Paint available?,What's the estimated painting time required to achieve the finished wall?,Asian Paints Royale Play Metallics is a water based special effects paint that creates variety of special effect finishes on the interior walls.,We recommend using it only on the interior wall surfaces. It cannot be applied on any other surface such as wood or metal.,"On smooth well-prepared surface by rolling followed by use of Special Effect Tools, the coverage of Royale Play Metallics Paint is 10 - 16.5 square metre per litre for 1 coat. However, actual coverage may vary from the quoted coverage due to factors such as method and condition of application and surface roughness and porosity.",Royale Play Metallics Paint is available in packs or tins of 200 ml & 1 Litre.,"On well-prepared surface, It will take 1 to 2 days to achieve the finished wall.",Yes,Yes,
37,Royale Play Safari,Interior,Texture,Liter,Water,1,,,,,4 (Good Washable),8-10 Years,32+,40 – 60 sq.ft/ltr*,Soft Sheen,8-10 Hours,"Made for the adventurer, Royale Play Safari has a water-based top coat finish with metallic pigments, that are available in a silver or gold base. The end result is a trip into the heart of Africa’s jungles and are perfectly suitable for decoration of interior walls in classical and modern environments. Safari is an odourless and completely non-toxic paint.Five effects including classic, sleet, rainstorm, oceanwave and frost are created using a variety of tools from Asian Paints. This product has been specially formulated so that it is easy to apply, allows the tools to move smoothly without much effort, retaining the pattern left by the tool that created it. It provides sufficient open time to allow the creation of the effect. It provides a metallic lustre that lends elegance and style to the surface. There are coarse particle in the paint to add a textured feel to the finish.",,Metallic Lustre,Special Effect,Easy Application,Low VOC,Non Toxic,,,,,,,,,,Is Royale Play Safari paint washable?,What is the expected coverage per litre of Royale Play Safari?,How many coats are recommended for Royale Play Safari?,How long will Royale Play Safari last after application?,What is the curing period of Royale Play Safari when applied to new surfaces?,"Asian Paints Royale Play Safari has high washability, which helps the walls to be cleaned easily without any damage or discolouration. You can use a dry cloth to clean the wall surface.","Asian Paints Royale Play Safari provides an expected coverage per litre on a smooth, well-prepared surface by rolling, followed by Special Effect Tools, which is 40 – 60 sq ft/ltr for one coat. However, the actual coverage can differ from the expected due to factors such as the method and condition of the application surface, roughness, and porosit",The number of coats recommended for Royale Play Safari is two coats.,"Asian Paints Royale Play Safari can last you for years, as it comes with a texture that lasts long and ensures low maintenance.","The curing period of Royale Play Safari, when applied to new surfaces, is 28 days.",Yes,Yes,
38,Royale Play Special Effect,Interior,Texture,Liter,Water,0.2,1,,,,4 (Good Washable),8-10 Years,32+,40 – 60 sq.ft/ltr*,Soft Sheen,12-16 Hours,"Being spoilt for choice can be a good thing and Royale Play will do just that. This water-based special effects paint offers one of the largest variety of effects for interior walls to choose from. Different types of Special effects such as Crinkle, Dapple, Weaving, Canvas, Spatula, Colorwash, ragging, sponging, combing, brushing can be created using a variety of tools on Asian Paints Royale Play Special Effects Paint. This product has been specifically formulated such that it is easy to apply, allows the tools to move smoothly without much effort, retaining the pattern left by the tool that created it. It provides greater open time to allow the creation of the effect. It has a soft sheen that lends elegance and style to a surface. Asian Paints Royale Play is a co-polymer emulsion based paint for interior application. It will not run or sag on vertical surfaces. It is abrasion resistant, translucent, odourless, non-toxic, non-flammable and completely health and environment friendly. ",,Sheen,Special Effect,Easy Application,Low VOC,Non Toxic,"Co-polymer, emulsion based, environment friendly Asian Paints Royale Play is a co-polymer emulsion base",,,,,,,,,Is Royale Play Special Effects paint washable?,What is the expected coverage per litre of Royale Play Special Effects?,How many coats are recommended for Royale Play Special Effects?,How long will Royale Play Special Effects last after application?,What is the curing period of Royale Play Special Effects when applied to new surfaces?,Asian Paints Royale Play Special Effects is washable; it comes with best-in-class washability.,The expected coverage of Asian Paints Royale Play Special Effects is 100-175 sq.ft/ltr for one coat. The actual coverage may vary than the given coverage due to factors such as method and condition of application and surface roughness and porosity.,One coat is recommended for Asian Paints Royale Play Special Effects.,The Asian Paints Royale Play Special Effects is durable and will last a long time. Its best-in-class washability makes it easier to keep clean.,The curing period of Royale Play Special Effects when applied to new surfaces is 28 days.,Yes,Yes,
39,Royale Play Stucco Mirror,Interior,Texture,Kg,Water,1,5,,,,3 (Medium Washable),4-6 Years,,,High Sheen,8-10 Hours,"Some things are best written in stone. With Royale Play Stucco, you can create finishes inspired by marble and other stone surfaces. It is a lime based plaster with a high sheen and smooth finish. Apply a layer of Royale Protective coat to get best washability performance. Five effects like marble, cobbled, slate, igneous and quartz are created using a variety of tools on Asian Paints Royale Play Stucco special effects paint. This product has been specially formulated such that it is easy to apply, allows the tools to move smoothly without much effort, retaining the pattern left by the tool. Depending on the amount and time of buffing it is possible to obtain egg-shell to glossy finishes.",,Special Effects,Sheen,Easy Application,Lime based plaster,environment friendly,,,,,,,,,,What is Royale Play Stucco?,On what kind of surfaces can Royale Play Stucco be applied?,How much area does the Royale Play Stucco cover?,In what kind of quantities is the Royale Play Stucco available?,Is Royale Play Stucco Washable?,Asian Paints Royale Play Stucco is a lime based plaster using which various finishes inspired from marble & other stones are created.,We recommend using it only on the interior wall surfaces. It cannot be applied on any other surface such as wood or metal.,"On smooth well-prepared surface by use of Royale play Steel Trowel, the coverage of Royale Play Stucco is 1.6- 1.8 square metre per Kg. However, actual coverage may vary from the quoted coverage due to factors such as method and condition of application and surface roughness and porosity.",Royale Play Stucco is available in 1 Kg & 5 Kg Packs.,"Yes, As Royale Play Stucco is the lime based plaster, dust that accumulates on the wall can be wiped with dry cloth. Allow 2 weeks of Paint film curing time before cleaning the surface. Apply a coat of Royale Play Protective Clear Coat to improve washability?",Yes,Yes,
40,Ace Sparc Shyne,Exterior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),0-2 Years,1000+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,"Ace Sparc Shyne doesn't just make your exterior walls shine, it makes your reputation shine as well. This affordable exterior emulsion gives a rich finish and is water resistant. It also offers. An exterior value for money paint, that lasts longer with an affordable sheen.",,Wheater Guard,Affodable,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,
41,Ace Shyne Advanced,Exterior,Economy,Liter,Water,1,4,10,20,,3 (Medium Washable),2-4 Years,1500+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,"Ace Shyne Advanced doesn't just make your exterior walls shine, it makes your reputation shine as well. This affordable exterior emulsion gives a rich finish and is water resistant. It also offers excellent protection against weathering. It is powered by Twin power Technology & Silicon Boost for improved coverage & whiteness.With its 4 years warranty it ensures that your home keeps looking beautiful for a long time.",,Anti-fade Technology,Water Resistance Technology,Anti Algal Formula,Clean Shades,,,,,,,,,,,Is Ace Shyne Advanced paint washable?,What is the expected coverage per liter of Ace Shyne Advanced?,How many coats are recommended for Ace Shyne Advanced?,How long will Ace Shyne Advanced last after application?,What is the curing period of Ace Shyne Advanced when applied for new surfaces?,"Yes, Ace Shyne Advanced paint is a washable paint.","When brushing Ace Shyne Advanced on normal masonry, one coat covers approximately 10-12 square meters per liter, and two coats cover 5-6 square meters per liter.",Two coats of Ace Shyne Advanced are recommended which will give an estimated coverage of 5-6 square meters per litre when applied to a normal masonry surface by brushing.,Ace Shyne Advanced paint product gives a 2-year performance guarantee on shade fidelity and film integrity.,"The paint typically becomes touch dry in about 30 minutes, meaning it's no longer tacky to the touch. However, this doesn't indicate that the paint is fully cured.",Yes,Yes,
42,Ace Ultraa,Exterior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),2-4 Years,1000+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,"Looking for an exterior paint that saves time, effort and money during application and with extra coverage? Opt for Ace Ultraa Exterior Emulsion - a water-based exterior wall finish with unique water resistance technology. Ace Ultraa gives 10% additional coverage compared to other economy exterior emulsion. It’s the perfect outdoor paint as it has a first-rate resistance to chalking, cracking, and weathering as opposed to cement paints.",,Anti-fade Technology,Water Resistance Technology,Anti Algal Formula,,,,,,,,,,,,,,,,,,,,,,Yes,,
43,Ace Power+,Exterior,Economy,Liter,Water,1,4,10,20,,3 (Medium Washable),2-4 Years,1500+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,Ace Power+ is a water based Exterior Emulsion that comes with a 4-year performance warranty. Its new Advanced Anti Fade Technology resist walls from getting faded due to UV rays. Ace Power+ protects the walls from harsh weather conditions and algal attacks while retaining the integrity of the paint film. Ace power+ is specially formulated to withstand harsh environmental conditions like humidity and heat. Ace power+has been fortified with advanced anti fade technology which resists shade fading due to uv rays.,,Advanced Anti-fade Technology,Fantastic Shade Range,Advanced Anti Algal Formula,Weather Guard,,,,,,,,,,,Is Ace Power+ paint washable?,What is the expected coverage per liter of Ace Power+?,How many coats are recommended for Ace Power+?,How long will Ace Power+ last after application?,What is the curing period of Ace Power+ when applied for new surfaces?,"Yes, Ace Power+ paint is a washable paint.","For normal masonry, applying two brush coats of Ace Power+ will provide an estimated coverage of 50 to 60 square feet per liter.",Two coats of Ace Power+ are recommended which will cover 5-6 square meters per litre. This is an estimated coverage range for Ace Power+ when applied to a normal masonry surface by brushing.,The paint's 4-year guarantee is based on its best-in-class film integrity and its ability to maintain superior performance under real-world conditions.,"Ace Power+ paint typically becomes dry to touch in about 30 minutes. However, this doesn't indicate that the paint is fully cured.",Yes,Yes,
44,Ace Shyne,Exterior,Economy,Liter,Water,1,4,10,20,,3 (Medium Washable),2-4 Years,1050+,40 – 60 sq.ft/ltr*,Soft Sheen,30 Minutes,"Asian Paints Ace Shyns is a watar-based axterior emulsion that imparts a hi-sheen finish to the exterior walls. It is sultable for dry to moderately humid climatic conditions. Ace Shyne offers excellent resistance to chalking, cracking and weathering in comparison to cement paint. nt. Its modifie modified acrylic binder ensures that paint stays on your wall longer than cement paint. Ace Shyne provides the best-in-class sheen finish, that impartsa superior rich look to your home's exterior walls. Ace Shyne comes with a comprehensive 4 year performance warranty which can be attributed to its best in class film integrity and lower moisture absorption by virtue of its water resistance technology.",,Better Performance,Sheen Finish,Clean Shades,,,,,,,,,,,,Is Ace Shyne paint washable?,What is the expected coverage per liter of Ace Shyne?,How many coats are recommended for Ace Shyne?,How long will Ace Shyne last after application?,What is the curing period of Ace Shyne when applied for new surfaces?,"Yes, Ace Shyne paint is a washable paint.","When Ace Shyne is brush-applied to a normal masonry surface, estimated coverage range is 100-120 square feet per liter for a single coat, and 50-60 square feet per liter for two coats.",Two coats of Ace Shyne are recommended which gives an estimated coverage of 50-60 square feet per litre when applied to a normal masonry surface.,"With a 4-year performance guarantee, this paint provides lasting protection, thanks to its excellent film integrity and water resistance, which reduces moisture uptake.","The paint finish typically becomes touch dry in about 30 minutes, meaning it's no longer tacky to the touch. However, this doesn't mean that the paint is fully cured.",Yes,Yes,
45,Ace Advanced,Exterior,Economy,Liter,Water,1,4,10,20,,3 (Medium Washable),2-4 Years,1500+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,"Transform your home by achieving the finish you always wanted with Ace Advanced Emulsion, a water-based paint. No matter the weather, this lead-free paint will keep your home safe and protected. It is available in over 1600 attractive shades that will always make you admire your walls. It’s features: Twin Power & silicon boost makes it truly advanced. Twin Power technology gives higher coverage and better hiding compared to other economy emulsions. Silicon boost gives it better durability. Ace Advanced offers excellent resistance to chalking, cracking and weathering in comparison to cement paint. Its modified acrylic binder ensures that paint stays on your wall longer than cement paint.",,Better Performance,Better Anti-algal Performance,Clean Shades,Improved Whiteness,,,,,,,,,,,Is Ace Advanced paint washable?,What is the expected coverage per liter of Ace Advanced?,How many coats are recommended for Ace Advanced?,How long will Ace Advanced last after application?,What is the curing period of Ace Advanced when applied for new surfaces?,"Yes, Ace Advanced paint is a washable paint.","When brushing Ace Advanced on normal masonry, one coat covers approximately 10-12 square meters per liter, and two coats cover 5-6 square meters per liter.",Two coats of Ace Advanced are recommended which will give an estimated coverage of 5-6 square meters per litre when applied to a normal masonry surface by brushing.,Ace Advanced paint product gives a 2-year performance guarantee on shade fidelity and film integrity.,"The paint typically becomes touch dry in about 30 minutes, meaning it's no longer tacky to the touch. However, this doesn't indicate that the paint is fully cured.",Yes,Yes,
46,Ace Exterior Emulsion,Exterior,Economy,Liter,Water,1,4,10,20,,3 (Medium Washable),2-4 Years,1950+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,"Looking for an exterior paint that saves time, effort and money during application? Opt for Ace Exterior Emulsion - a water-based exterior wall finish with unique water resistance technology. It’s the perfect outdoor paint as it has a first-rate resistance to chalking, cracking, and weathering as opposed to cement paints. Ace gives clean shades that do not fade and last longer than cement paint shades. It is available in over 1950+ attractive shades including dark shades that provide excellent hiding. Ace provides better anti-algal protection than cement paint especially in dry to moderately humid climatic conditions.",,Better Performance,Better Anti-algal Performance,Anti Algal Formula,Clean Shades,Wheater Guard,,,,,,,,,,Is Ace Exterior Emulsion paint washable?,What is the expected coverage per liter of Ace Exterior Emulsion?,How many coats are recommended for Ace Exterior Emulsion?,How long will Ace Exterior Emulsion last after application?,What is the curing period of Ace Exterior Emulsion when applied for new surfaces?,"Yes, Ace Exterior Emulsion paint is a washable paint.",One can expect an estimated coverage of 50 to 60 square feet per liter when brushing two coats of Ace Exterior Emulsion finish onto a standard masonry surface.,"It is recommended to apply two brush coats of Ace Exterior Emulsion to normal masonry surfaces, yielding an estimated coverage of 50 to 60 square feet per liter.","Offering a 4-year performance guarantee, this paint's durability is ensured by its high-quality film integrity and water resistance, which limits moisture absorption.","The surface will be dry to the touch, or non-tacky, in about 30 minutes. Yet, this initial dryness does not signify that the paint is fully set.",Yes,Yes,
47,Ace Sparc Ultra,Exterior,Economy,Liter,Water,1,4,10,20,,2 (Low Washable),0-2 Years,1000+,5-6 sq.m/Ltr,Soft Sheen,30 Minutes,"A water-based acrylic binder exterior emulsion which is suitable for moderately humid climatic conditions. Ace Sparc Ultra weather guard properties resist chalking, cracking, and weathering as opposed to distempers & cement paints. With this exterior paint, get plastic paint-like finish that lasts longer than distemper.",,Better Performance,Affordable,Weather Guard,,,,,,,,,,,,Is Ace Sparc Ultra paint washable?,What is the expected coverage per liter of Ace Sparc Ultra?,How many coats are recommended for Ace Sparc Ultra?,How long will Ace Sparc Ultra last after application?,What is the dilution ratio for Ace Sparc Ultra?,"Yes, Ace Sparc Ultra paint is a washable paint.","Ace Sparc Ultra provides an estimated coverage of 10-12 square meters per liter for one coat and 5-6 square meters per liter for two coats, when brushed on smooth masonry.",Two coats of Ace Sparc Ultra finish are recommended with an estimated coverage of 5-6 square meters per litre when applied to a normal masonry surface by brushing.,This paint product offers a 2-year performance guarantee on shade fidelity and film integrity.,"The dilution ratio for Ace Sparc Ultra with a brush, a spray, and a roller is 75% with water.",Yes,Yes,
